Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
152,0.977001,0.962253,0.960005,0.978447,0.990889,5.982817,5.987294,0.703691,0.969319,0.986600,0.993044,98.724157,
153,0.983628,0.970395,0.970658,0.985087,0.994795,5.982817,5.982817,0.730475,0.979633,0.991566,0.995809,100.000000,
154,0.976605,0.959854,0.959962,0.978421,0.990617,5.978077,5.983086,0.704921,0.970022,0.986840,0.993004,98.643225,
155,0.975951,0.957267,0.958945,0.978455,0.990623,5.970316,5.978077,0.705115,0.971344,0.987418,0.993258,98.542786,
156,0.975360,0.957439,0.958801,0.977211,0.990029,5.962177,5.970316,0.695519,0.967394,0.985525,0.992386,98.228625,
157,0.983019,0.969593,0.970632,0.984254,0.993994,5.955031,5.962177,0.725233,0.978516,0.990957,0.995154,100.000000,
158,0.975485,0.956245,0.960219,0.977183,0.990054,5.947923,5.955031,0.703144,0.970203,0.986813,0.992889,98.351808,
159,0.976271,0.957719,0.959227,0.978056,0.991469,5.939697,5.947923,0.702185,0.970235,0.986805,0.992745,98.500936,
160,0.975234,0.956912,0.957890,0.977209,0.990416,5.926388,5.939697,0.692614,0.967061,0.985376,0.992292,98.141301,
161,0.983052,0.969544,0.970113,0.984892,0.993953,5.912636,5.926388,0.723097,0.978521,0.990887,0.994981,100.000000,
162,0.976490,0.956229,0.959794,0.978902,0.991696,5.897316,5.912636,0.696473,0.969544,0.986537,0.992941,98.495879,
163,0.976823,0.958070,0.960077,0.978886,0.991790,5.883911,5.897316,0.698791,0.970463,0.987113,0.993122,98.597502,
164,0.977026,0.957788,0.961276,0.980043,0.990879,5.866795,5.883911,0.691621,0.967755,0.985829,0.992507,98.500028,
165,0.983715,0.969383,0.971363,0.985251,0.994770,5.850246,5.866795,0.720512,0.978466,0.991145,0.995431,100.000000,
166,0.977370,0.958516,0.961860,0.979270,0.991869,5.834116,5.850246,0.697638,0.970843,0.987413,0.993301,98.685463,
167,0.976294,0.957868,0.960427,0.977646,0.991313,5.812668,5.834116,0.692365,0.968073,0.985912,0.992559,98.285139,
168,0.983234,0.969224,0.970989,0.985048,0.994172,5.795365,5.812668,0.717976,0.977631,0.990492,0.994663,100.000000,
169,0.976357,0.956987,0.959266,0.978358,0.991644,5.771571,5.795365,0.694436,0.969727,0.986614,0.992694,98.299029,
170,0.976035,0.956607,0.959536,0.978205,0.991053,5.746957,5.771571,0.691734,0.969500,0.986638,0.992764,98.203716,
171,0.975629,0.958403,0.958486,0.977689,0.990256,5.724056,5.746957,0.687777,0.966852,0.985268,0.992548,97.997364,
172,0.982188,0.968411,0.970532,0.983713,0.992923,5.695374,5.724056,0.717390,0.977905,0.990461,0.994721,99.860766,
173,0.976746,0.957659,0.961155,0.978943,0.991072,5.673579,5.695374,0.693556,0.969484,0.986465,0.992713,98.259569,
174,0.976663,0.955868,0.960971,0.978380,0.992083,5.652302,5.673579,0.690894,0.969389,0.986500,0.992885,98.229459,
175,0.974952,0.954836,0.958775,0.977141,0.990131,5.627771,5.652302,0.680921,0.966413,0.984899,0.992005,97.670007,
176,0.981723,0.967228,0.970130,0.983618,0.992460,5.601720,5.627771,0.712377,0.977017,0.989869,0.994378,99.584911,
177,0.976165,0.955801,0.961391,0.978851,0.990259,5.581527,5.601720,0.689412,0.968504,0.985488,0.991945,97.911367,
178,0.975741,0.955671,0.960406,0.978116,0.990286,5.559122,5.581527,0.687324,0.969158,0.986313,0.992787,97.897916,
179,0.974691,0.953899,0.959399,0.977499,0.989067,5.549189,5.559122,0.674648,0.965055,0.984272,0.991822,97.469036,
180,0.982186,0.967444,0.970622,0.983999,0.993088,5.529338,5.549189,0.710039,0.976777,0.989608,0.994123,99.563897,
181,0.975226,0.952400,0.959989,0.978302,0.990319,5.515415,5.529338,0.676901,0.967152,0.985206,0.991931,97.603567,
182,0.974674,0.952533,0.960428,0.977495,0.989302,5.510169,5.515415,0.669219,0.965155,0.984230,0.991500,97.389514,
183,0.982285,0.967470,0.971871,0.984135,0.992494,5.498026,5.510169,0.708588,0.976907,0.989535,0.994087,99.541104,
184,0.975923,0.951863,0.961210,0.979169,0.991226,5.489800,5.498026,0.671470,0.967120,0.985112,0.991833,97.710816,
185,0.975798,0.953074,0.961503,0.979269,0.990068,5.484469,5.489800,0.678195,0.969171,0.986016,0.992189,97.756031,
186,0.974112,0.953451,0.959548,0.976856,0.988288,5.479289,5.484469,0.663795,0.963814,0.983261,0.990867,97.130219,
187,0.981608,0.966538,0.971384,0.983956,0.991564,5.479289,5.479289,0.702345,0.975914,0.988787,0.993370,99.272208,
188,0.975698,0.952848,0.960742,0.979036,0.990618,5.475131,5.481082,0.672180,0.967656,0.985163,0.992027,97.664465,
189,0.974816,0.951403,0.958912,0.978538,0.990242,5.467322,5.475131,0.662814,0.967037,0.985101,0.991855,97.441555,
190,0.974928,0.952712,0.959582,0.977742,0.990257,5.457934,5.467322,0.664463,0.966965,0.984991,0.992139,97.472735,
191,0.982558,0.967570,0.972855,0.984815,0.992285,5.455027,5.457934,0.702051,0.977015,0.989442,0.993654,99.506774,
192,0.978458,0.958702,0.965536,0.981095,0.991699,5.440982,5.455027,0.676839,0.969038,0.985812,0.992151,98.270114,
193,0.975851,0.952419,0.962626,0.979184,0.990240,5.440044,5.440982,0.665544,0.967781,0.985192,0.991665,97.626553,
194,0.975246,0.953716,0.961551,0.978373,0.989339,5.426332,5.440044,0.665406,0.967026,0.984385,0.990926,97.380474,
195,0.982596,0.968156,0.972283,0.985073,0.992177,5.412487,5.426332,0.700753,0.976716,0.989016,0.993219,99.407672,
196,0.975199,0.949923,0.961216,0.979449,0.989974,5.397540,5.412487,0.660210,0.966594,0.984111,0.990723,97.304262,
197,0.974853,0.950776,0.961837,0.978196,0.989466,5.381740,5.397540,0.660796,0.967841,0.985049,0.991468,97.316255,
198,0.971216,0.943158,0.956157,0.976274,0.987131,5.362209,5.381740,0.643696,0.963067,0.982805,0.990471,96.302791,
199,0.981982,0.968532,0.973438,0.984327,0.990471,5.339759,5.362209,0.700798,0.976404,0.988844,0.993143,99.170258,
200,0.976523,0.951308,0.964294,0.980454,0.990652,5.324316,5.339759,0.655092,0.965969,0.984302,0.991314,97.557479,
201,0.974775,0.951148,0.960084,0.978581,0.989369,5.309091,5.324316,0.658320,0.967137,0.984681,0.990998,97.155001,
202,0.973209,0.947119,0.961524,0.976839,0.987430,5.288664,5.309091,0.646547,0.964530,0.983103,0.990259,96.649709,
203,0.982183,0.968957,0.973239,0.984127,0.991011,5.265569,5.288664,0.702137,0.976225,0.988580,0.992756,99.081018,
204,0.974736,0.946376,0.960895,0.978338,0.991164,5.240034,5.265569,0.646015,0.964768,0.983275,0.990333,96.937924,
205,0.975287,0.951144,0.962243,0.978374,0.990080,5.211847,5.240034,0.665333,0.967467,0.984722,0.991319,97.179549,
206,0.972373,0.946911,0.958635,0.976121,0.987549,5.189491,5.211847,0.645220,0.963768,0.982941,0.990165,96.331596,
207,0.981826,0.968838,0.972985,0.983581,0.990566,5.172078,5.189491,0.701321,0.976235,0.988774,0.993111,98.926154,
208,0.976735,0.951434,0.962060,0.980818,0.991702,5.148299,5.172078,0.661373,0.966786,0.984690,0.991264,97.409169,
209,0.976073,0.951693,0.962908,0.979868,0.990129,5.130527,5.148299,0.658966,0.967332,0.984629,0.991171,97.235419,
210,0.976160,0.955086,0.962821,0.978774,0.989931,5.114409,5.130527,0.666206,0.967356,0.984603,0.991337,97.248051,
211,0.982066,0.968566,0.972743,0.984247,0.990932,5.097304,5.114409,0.700827,0.976443,0.988911,0.993387,98.916398,
212,0.977214,0.956009,0.963619,0.980749,0.990612,5.074635,5.097304,0.669522,0.968449,0.985167,0.991663,97.485433,
